,S_0-19,I_0-19,R_0-19,V_0-19,S_20-49,I_20-49,R_20-49,V_20-49,S_50-80+,I_50-80+,R_50-80+,V_50-80+,S_total,I_total,R_total,V_total
2020-12-23,6242338.228966259,759.3661953597328,2975.4048383830386,0.0,31515111.09283619,3771.152495018469,11624.754668792168,0.0,13954015.31039762,6917.6053509277535,11227.084251457256,0.0,51711464.63220007,11448.124041305955,25827.24375863246,0.0
2020-12-24,6242248.105990452,769.4454209397662,3055.44858861109,0.0,31514772.216609534,3855.1468379319354,11879.63655253474,0.0,13953588.445818877,7068.560294083221,11502.993887044502,0.0,51710608.76841886,11693.152552954922,26438.079028190332,0.0
2020-12-25,6242150.3832333945,786.2647433222954,3136.3520232855053,0.0,31514307.614792295,4059.169650383585,12140.215557320416,0.0,13953042.960788311,7332.2693999672265,11784.769811725275,0.0,51709500.958813995,12177.703793673107,27061.337392331196,0.0
2020-12-26,6242039.064993511,814.9816504070085,3218.9533560843647,0.0,31513914.31587008,4176.258569401747,12416.425560515652,0.0,13952551.88463737,7530.320468768799,12077.794893865075,0.0,51708505.26550096,12521.560688577556,27713.173810465094,0.0
2020-12-27,6241958.159760292,810.1089441061324,3304.731295604819,0.0,31513575.397997882,4230.629108141402,12700.97289397342,0.0,13952140.27361184,7640.865086267897,12378.861301896652,0.0,51707673.83137001,12681.603138515431,28384.56549147489,0.0
2020-12-28,6241889.68341677,793.8453260928659,3389.471257140062,0.0,31513329.90286235,4188.486892165665,12988.610245479289,0.0,13951790.167918349,7686.103562127038,12683.728519528027,0.0,51707009.75419747,12668.435780385567,29061.81002214738,0.0
2020-12-29,6241813.630773055,787.6146603312577,3471.75456661597,0.0,31512930.845913578,4304.842480115915,13271.311606301644,0.0,13951366.586560946,7804.17059114494,12989.242847912485,0.0,51706111.06324758,12896.627731592114,29732.3090208301,0.0
2020-12-30,6241734.989545888,785.1628277898506,3552.8476263242974,0.0,31512606.20247161,4338.540554266295,13562.256974119757,0.0,13950868.532775186,7992.570402769982,13298.89682204788,0.0,51705209.72479268,13116.273784826128,30414.001422491936,0.0
2020-12-31,6241636.7537840195,803.0174743161192,3633.228741666407,0.0,31512315.01375648,4337.441688262193,13854.54455525326,0.0,13950443.027259296,8100.927023437024,13616.045717270601,0.0,51704394.7947998,13241.386186015337,31103.819014190267,0.0
2021-01-01,6241539.919927727,817.6402900266044,3715.43978224759,0.0,31511956.286479257,4405.43402813643,14145.279492602756,0.0,13950027.107487882,8196.082526312046,13936.809985809225,0.0,51703523.31389486,13419.156844475081,31797.529260659572,0.0
2021-01-02,6241453.497126639,820.4352537732789,3799.067619589677,0.0,31511704.01287672,4362.783003801106,14440.204119475067,0.0,13949704.79153781,8194.670565049068,14260.537897143156,0.0,51702862.301541165,13377.888822623452,32499.8096362079,0.0
2021-01-03,6241394.492464737,795.880847051619,3882.6266882133887,0.0,31511529.213897318,4247.672014485614,14730.114088193184,0.0,13949444.094227295,8133.326377926713,14582.579394779796,0.0,51702367.80058935,13176.879239463946,33195.320171186366,0.0
